"keyWord";"mainKwd";"fld"
"Data_Analyst";;"Jobs"
"Developer";;"Jobs"
"Functional_Analyst";;"Jobs"
"Process_Analyst";;"Jobs"
"Product_Owner";;"Jobs"
"Production_Support";;"Jobs"
"Project Coordinator";;"Jobs"
"Project Manager";;"Jobs"
"Technical_Analyst";;"Jobs"
"Analyse technique";"Technical_Analyst";"Jobs"
"Business Analysis";"Business_Analyst";"Jobs"
"Business Analyst";"Business_Analyst";"Jobs"
"Coordinateur";"Project Coordinator";"Jobs"
"Coordination";"Project Coordinator";"Jobs"
"Data Analysis";"Data_Analyst";"Jobs"
"Data Analyst";"Data_Analyst";"Jobs"
"Developpeur";"Developer";"Jobs"
"Développeur";"Developer";"Jobs"
"Functional Analysis";"Functional_Analyst";"Jobs"
"Functional Analyst";"Functional_Analyst";"Jobs"
"Process Analysis";"Process_Analyst";"Jobs"
"Process Analyst";"Process_Analyst";"Jobs"
"Product Owner";"Product_Owner";"Jobs"
"Project management";"Project Manager";"Jobs"
"Senior BA";"Business_Analyst";"Jobs"
"Support Production";"Production_Support";"Jobs"
"Technical Analyst";"Technical_Analyst";"Jobs"
"Test Management";"Test Manager";"Jobs"
"Test Manager";;"Jobs"
"Project_Analyst";;"Jobs"
"Helpdesk";;"Jobs"
"Help Desk";"Helpdesk";"Jobs"
"Gestionnaire de projet";"Project Manager";"Jobs"
"Officer";;"Jobs"
"PMO";;"Jobs"
"Private Manager Equity";"PMO";"Jobs"
"Engineer";;"Jobs"
"Ingénieur";"Engineer";"Jobs"
"Ingenieur";"Engineer";"Jobs"
"AGILE";;"Skills"
"AMLKYC";;"Skills"
"Business_Object";;"Skills"
"Contract_notes";;"Skills"
"COREP";;"Skills"
"CRS";;"Skills"
"Derivative";;"Skills"
"FATCA";;"Skills"
"FINREP";;"Skills"
"Forex";;"Skills"
"French";;"Skills"
"LuxGaap";;"Skills"
"Money_Market";;"Skills"
"MS Project";;"Skills"
"Netherlands";;"Skills"
"NSCC";;"Skills"
" OST_";;"Skills"
"OTC";;"Skills"
"Prince_2";;"Skills"
"Quality Center";;"Skills"
" SAS_";;"Skills"
"SWIFT";;"Skills"
"TDCC";;"Skills"
"Trailer_Fees";;"Skills"
"TVA";;"Skills"
"webportal";;"Skills"
"AML";"AMLKYC";"Skills"
"Business Object";"Business_Object";"Skills"
